StatusHistoryId,LeadId,FromStatus,ToStatus,ChangedAtUtc,ChangedByUserName,DaysInPreviousStage
83dbf48f-db5e-476f-84db-1abae8eb4033,881b86b2-4ae2-4515-aca8-a99bef24ab4d,ThirdCall,AdmissionDone,2025-12-11 07:20:38,Faris Shere,10
4a3dafca-9a19-4a43-ac64-e2f0b8fd4cc0,dcb22483-c36c-4522-8090-86e9275f774f,CNC,Interested,2026-08-05 09:10:38,Balhaar Choudhary,12
8b417e37-5abf-42e0-be0c-dce6479b5a1f,d527068c-eb0b-4f1c-9e07-616df2711d36,Prospect,AdmissionDone,2026-02-25 05:24:24,Tarak Prakash,5
5f92dbad-c335-420d-a289-f75d1552ff4f,81b5abd9-725b-4407-b780-056dbe96d234,Interested,Lost,2026-03-20 05:22:23,Gaurav Suri,9
5deafba1-a525-48df-8416-d7a5542dd5e1,8aec8574-f8b2-415a-9580-44f543424cb7,SecondCall,AdmissionDone,2026-02-05 19:37:09,Victor Kothari,9
5f70640b-b42e-4f9a-8ecb-3b9a9dbe5768,6d4446fc-e9d2-431d-b6f5-044483fed339,Prospect,AdmissionDone,2026-04-19 02:15:41,Gaurav Suri,5
a7a8e436-baea-4cb9-98b6-5dd3c26947e1,c4aa84aa-f49d-4f94-8f32-931173613b27,CNC,Interested,2026-07-25 14:14:15,Faris Shere,5
3d43a998-d0f2-4121-b7e4-741f6822c923,72cc0690-b96e-43f0-ba40-61e824fe869b,CNC,Lost,2025-10-30 19:36:30,Urvi Saini,11
17314bc2-ba25-4f7b-bb64-b59454d21205,029ee8cd-10d8-4f63-85d8-7f73ad3a6723,Interested,AdmissionDone,2025-11-01 14:19:04,Ryan Gola,18
36eda134-6667-455c-8d6e-6a66a2ee3603,021083a4-ad5d-4c75-b9e3-8807b2181545,SecondCall,ThirdCall,2026-01-30 10:40:02,Finn Sandal,6
5ce879ef-4bc1-48c8-bd49-4e64d7276e26,825eccba-5fa9-4fdd-905a-d50b9f4c2b4b,Interested,AdmissionDone,2025-12-18 22:15:47,Turvi Behl,13
9f5dabab-039e-4500-99a5-01af9c1840cf,7da48b38-70fa-436b-a112-01e84b8a3458,SecondCall,AdmissionDone,2026-07-04 06:30:41,Ryan Gola,4
7ba3b37d-ba7a-4c3e-bafc-3e9fc8fdfef3,008cb042-0466-41d9-94a3-b8d6b9ae1a47,Interested,Prospect,2026-05-17 18:00:03,Diya Rau,10
572076de-ce7c-4e1a-98b1-74f26d9a376c,82e1a7ea-1da9-4b34-99c2-23c427145cb4,Interested,AdmissionDone,2025-12-05 17:45:50,Yahvi Goda,17
d0c553a3-6e59-4adb-baa1-27d8c39167fd,052021f9-74d5-446f-a3d5-7e540c24abc7,Interested,Prospect,2026-05-15 16:16:11,Samar Patil,4
19be9928-b01e-4ad8-9490-634073b7f442,b5e8861c-b0f6-42b0-a02f-5316a5d67d69,ThirdCall,AdmissionDone,2026-02-07 08:22:27,Dayita Ahluwalia,13
9a8322f8-8291-4ee6-a7ce-e793c9b56ab6,93969f8f-d64b-4bbb-a0cf-dd32212b11aa,Prospect,AdmissionDone,2026-07-19 16:35:39,Tarak Prakash,10
9859cb6c-cb18-4f6a-8f90-b38a4eedfe5f,1b2fb303-9f14-4ea2-8550-3ff903ceed23,SecondCall,AdmissionDone,2026-07-31 22:41:40,Turvi Behl,20
d2737c92-d3b3-4aa5-95ec-a71bd6cf7d8c,51c3dc58-6437-4238-adca-940530a4a4ed,Interested,AdmissionDone,2026-08-07 09:28:10,Brijesh Luthra,17
d57f4fc4-bcdb-4614-8121-c492d6180ce4,af788cb1-4835-4121-b5c5-bb88c8418919,Prospect,AdmissionDone,2026-02-17 21:41:34,Lipika Kala,17
6c336988-4a14-4c29-884b-391d948e1a58,c04b1659-3e3b-4c5b-84f1-2be84608e4eb,ThirdCall,AdmissionDone,2026-02-08 23:53:43,Netra Rai,7
ab55d481-b2fa-4a01-8df6-ba3e847f44dd,a6a570cc-a5b5-45f6-ad80-0dfefad057a8,Prospect,AdmissionDone,2025-09-28 09:13:35,Gabriel Dhar,21
